Model,class,precision,recall,f1_score,support
model1749,3,0.19,0.17,0.18,29
model1749,4,0.27,0.12,0.17,25
model1755,0,0.98,0.93,0.95,367
model1755,1,0.15,0.81,0.25,27
model1755,2,0.48,0.23,0.31,123
model1755,3,0.15,0.07,0.1,29
model1755,4,0.5,0.16,0.24,25
model1756,0,0.98,0.93,0.95,367
model1756,1,0.15,0.81,0.25,27
model1756,2,0.45,0.16,0.24,123
model1756,3,0.22,0.21,0.21,29
model1756,4,0.5,0.16,0.24,25
model1757,0,0.98,0.93,0.95,367
model1757,1,0.15,0.81,0.25,27
model1757,2,0.47,0.24,0.31,123
model1757,3,0.33,0.1,0.16,29
model1757,4,0.5,0.16,0.24,25
model1758,0,0.98,0.93,0.95,367
model1758,1,0.15,0.81,0.25,27
model1758,2,0.52,0.14,0.22,123
model1758,3,0.21,0.28,0.24,29
model1758,4,0.5,0.16,0.24,25
model1759,0,0.98,0.93,0.95,367
model1759,1,0.15,0.81,0.25,27
model1759,2,0.52,0.19,0.28,123
